name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
australia,30-08-2022,14.9,7.1,11.7,14.9,4.5,11.2,7.2,75.7,0.173,100,8.33,rain,0,0,66.2,35.6,323.3,1016.9,63.5,10.6,182.8,15.8,8,10,2022-08-30T06:26:17,2022-08-30T17:42:48,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"YSCB,95925099999,94925099999,94927099999,F0067,95716099999,94926099999"
australia,31-08-2022,16,3.3,9.7,16,1.5,8.8,6.3,82.4,0.003,100,4.17,rain,0,0,24.8,14.3,33.1,1023.7,59.9,9.7,140.8,12.1,8,10,2022-08-31T06:24:57,2022-08-31T17:43:32,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"YSCB,95925099999,94925099999,94927099999,F0067,95716099999,94926099999"
australia,01-09-2022,16.7,3,9.6,16.7,2.9,9.4,5.4,78.5,0,0,0,rain,0,0,24.1,20.5,327.2,1022.5,82.7,8.8,177.3,15.4,7,10,2022-09-01T06:23:35,2022-09-01T17:44:16,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"YSCB,95925099999,94925099999,94927099999,F0067,95716099999,94926099999"
australia,02-09-2022,13.1,3.2,8.2,13.1,1.6,7.2,4,77.1,0,0,0,rain,0,0,34.2,27,155.2,1023,83.5,9.6,197.7,17.2,9,10,2022-09-02T06:22:13,2022-09-02T17:45:00,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"YSCB,95925099999,94925099999,94927099999,F0067,95716099999,94926099999"
australia,03-09-2022,13.1,0.2,6.3,13.1,-3.8,4.2,0.2,66.7,0.002,100,4.17,"rain,snow",0,0,43.2,25.1,148.8,1026.3,50,10,184.4,15.9,8,10,2022-09-03T06:20:51,2022-09-03T17:45:44,0.24,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"YSCB,95925099999,94925099999,94927099999,F0067,95716099999,94926099999"
australia,04-09-2022,13.6,1.3,7.2,13.6,-2.2,6,2,71.9,0,0,0,,0,0,28.8,23.7,121.8,1026.4,61.7,10,172,14.9,9,10,2022-09-04T06:19:28,2022-09-04T17:46:28,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"YSCB,95925099999,94925099999,94927099999,F0067,95716099999,94926099999"
australia,05-09-2022,13.6,0,6.6,13.6,0,6.3,1.7,75.4,0,0,0,rain,0,0,28.8,16.2,127,1024.1,88.1,10.6,199.5,17.2,10,10,2022-09-05T06:18:04,2022-09-05T17:47:12,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"YSCB,95925099999,94925099999,94927099999,F0067,95716099999,94926099999"
australia,06-09-2022,14.8,0.5,7.4,14.8,-2.1,6,2.8,75.3,0,0,0,rain,0,0,29.9,26.2,100.8,1024.7,77.4,10,144,12.6,5,10,2022-09-06T06:16:41,2022-09-06T17:47:56,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"YSCB,95925099999,94925099999,94927099999,F0067,95716099999,94926099999"
australia,07-09-2022,16,6.2,10.7,16,5.9,10.5,5.3,71.3,0.017,100,4.17,rain,0,0,29.5,17.5,62.3,1023,96.6,10,161.5,14,10,10,2022-09-07T06:15:16,2022-09-07T17:48:40,0.38,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"YSCB,95925099999,94925099999,94927099999,F0067,95716099999,94926099999"
australia,08-09-2022,16.8,9,12.2,16.8,7.8,12,9.1,83.3,6.067,100,12.5,rain,0,0,46.8,25,39.1,1017,96.1,9.7,98.4,8.7,4,10,2022-09-08T06:13:52,2022-09-08T17:49:24,0.42,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"YSCB,95925099999,94925099999,94927099999,F0067,95716099999,94926099999"
australia,09-09-2022,13.8,8.8,10.9,13.8,6.4,10.5,9.4,91.2,11.887,100,12.5,rain,0,0,38.2,30.1,341.4,1011.2,85.5,9.6,108,9.2,6,10,2022-09-09T06:12:27,2022-09-09T17:50:08,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"YSCB,95925099999,94925099999,94927099999,F0067,95716099999,94926099999"
australia,10-09-2022,16.9,8.7,11.8,16.9,6.5,11.1,7.8,78.7,0.631,100,12.5,rain,0,0,33.5,25.1,307.8,1009.1,87.4,9.9,115.7,10,9,10,2022-09-10T06:11:01,2022-09-10T17:50:51,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"YSCB,95925099999,94925099999,94927099999,F0067,95716099999,94926099999"
australia,11-09-2022,14.8,4.9,9,14.8,1.2,6.9,1.7,61.5,0.005,100,8.33,rain,0,0,40.3,33.7,321.9,1014.3,7.6,10,221.8,19.1,8,10,2022-09-11T06:09:35,2022-09-11T17:51:35,0.52,Rain,Clear conditions throughout the day with rain.,rain,"YSCB,95925099999,F4257,94925099999,94927099999,F0067,95716099999,94926099999"
australia,12-09-2022,12.7,-0.1,6.9,12.7,-1.4,5.3,2.1,72.6,0.031,100,8.33,rain,0,0,29.5,30.4,317.3,1018.2,75.7,10.6,156.1,13.4,8,10,2022-09-12T06:08:10,2022-09-12T17:52:19,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"YSCB,95925099999,94925099999,94927099999,F0067,95716099999,94926099999"
australia,13-09-2022,13.7,0.9,6.8,13.7,-1.7,5.7,0.7,70.3,0.005,100,8.33,rain,0,0,27.7,21.2,114.1,1025.1,66.5,10.6,232.3,20,10,10,2022-09-13T06:06:43,2022-09-13T17:53:03,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"YSCB,95925099999,94925099999,94927099999,F0067,95716099999,94926099999"
australia,14-09-2022,14.8,-0.5,7.2,14.8,-2.6,6.5,1,70.1,0,0,0,,0,0,19.8,18.1,53.2,1025.1,50.1,10.6,235.6,20.4,8,10,2022-09-14T06:05:17,2022-09-14T17:53:48,0.62,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"YSCB,95925099999,94925099999,94927099999,F0067,95716099999,94926099999"
australia,15-09-2022,11.9,6.1,9.1,11.9,4.4,8.7,8.3,95,7.346,100,16.67,rain,0,0,20.2,11,167.6,1013.7,95,10,65,5.4,3,10,2022-09-15T06:03:50,2022-09-15T17:54:32,0.65,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"YSCB,95925099999,94925099999,94927099999,F0067,95716099999,94926099999"
australia,16-09-2022,15.9,6.3,11.6,15.9,5.1,11.1,6.5,74.1,1.012,100,12.5,rain,0,0,54.7,38.5,317.8,1004.6,70.6,9.6,196.1,16.9,9,10,2022-09-16T06:02:23,2022-09-16T17:55:16,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"YSCB,95925099999,94925099999,94927099999,F0067,95716099999,94926099999"
